target_id	name	fam	tdl	idg2	protein_id	sym	family	geneid	uniprot	up_version	stringid	chr	description	dtoid
1	14-3-3 protein epsilon	None	Tbio	0	1	YWHAE	Belongs to the 14-3-3 family.	7531	P62258	1	ENSP00000264335	17p13.3	14-3-3 protein epsilon	None
2	14-3-3 protein eta	None	Tchem	0	2	YWHAH	Belongs to the 14-3-3 family.	7533	Q04917	4	ENSP00000248975	22q12.3	14-3-3 protein eta	None
3	14-3-3 protein theta	None	Tchem	0	3	YWHAQ	Belongs to the 14-3-3 family.	10971	P27348	1	ENSP00000238081	2p25.1	14-3-3 protein theta	None
4	HLA class I histocompatibility antigen, A-1 alpha chain	None	Tbio	0	4	HLA-A	Belongs to the MHC class I family.	3105	P30443	1	ENSP00000366005	6p22.1	HLA class I histocompatibility antigen, A-1 alpha chain	None
5	HLA class I histocompatibility antigen, A-3 alpha chain	None	Tbio	0	5	HLA-A	Belongs to the MHC class I family.	3105	P04439	2	ENSP00000366005	6p22.1	HLA class I histocompatibility antigen, A-3 alpha chain	None
6	HLA class I histocompatibility antigen, B-7 alpha chain	None	Tbio	0	6	HLA-B	Belongs to the MHC class I family.	3106	P01889	3	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-7 alpha chain	None
7	HLA class I histocompatibility antigen, B-13 alpha chain	None	Tbio	0	7	HLA-B	Belongs to the MHC class I family.	3106	P30461	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-13 alpha chain	None
8	HLA class I histocompatibility antigen, B-14 alpha chain	None	Tbio	0	8	HLA-B	Belongs to the MHC class I family.	3106	P30462	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-14 alpha chain	None
9	HLA class I histocompatibility antigen, B-15 alpha chain	None	Tbio	0	9	HLA-B	Belongs to the MHC class I family.	3106	P30464	2	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-15 alpha chain	None
10	HLA class I histocompatibility antigen, B-37 alpha chain	None	Tbio	0	10	HLA-B	Belongs to the MHC class I family.	3106	P18463	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-37 alpha chain	None
11	HLA class I histocompatibility antigen, B-38 alpha chain	None	Tbio	0	11	HLA-B	Belongs to the MHC class I family.	3106	Q95365	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-38 alpha chain	None
12	HLA class I histocompatibility antigen, B-40 alpha chain	None	Tbio	0	12	HLA-B	Belongs to the MHC class I family.	3106	Q04826	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-40 alpha chain	None
13	HLA class I histocompatibility antigen, B-41 alpha chain	None	Tbio	0	13	HLA-B	Belongs to the MHC class I family.	3106	P30479	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-41 alpha chain	None
14	HLA class I histocompatibility antigen, B-45 alpha chain	None	Tbio	0	14	HLA-B	Belongs to the MHC class I family.	3106	P30483	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-45 alpha chain	None
15	HLA class I histocompatibility antigen, B-48 alpha chain	None	Tbio	0	15	HLA-B	Belongs to the MHC class I family.	3106	P30486	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-48 alpha chain	None
16	HLA class I histocompatibility antigen, B-49 alpha chain	None	Tbio	0	16	HLA-B	Belongs to the MHC class I family.	3106	P30487	2	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-49 alpha chain	None
17	HLA class I histocompatibility antigen, B-50 alpha chain	None	Tbio	0	17	HLA-B	Belongs to the MHC class I family.	3106	P30488	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-50 alpha chain	None
18	HLA class I histocompatibility antigen, B-51 alpha chain	None	Tbio	0	18	HLA-B	Belongs to the MHC class I family.	3106	P18464	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-51 alpha chain	None
19	HLA class I histocompatibility antigen, B-52 alpha chain	None	Tbio	0	19	HLA-B	Belongs to the MHC class I family.	3106	P30490	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-52 alpha chain	None
20	HLA class I histocompatibility antigen, B-53 alpha chain	None	Tbio	0	20	HLA-B	Belongs to the MHC class I family.	3106	P30491	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-53 alpha chain	None
21	HLA class I histocompatibility antigen, B-54 alpha chain	None	Tbio	0	21	HLA-B	Belongs to the MHC class I family.	3106	P30492	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-54 alpha chain	None
22	HLA class I histocompatibility antigen, B-55 alpha chain	None	Tbio	0	22	HLA-B	Belongs to the MHC class I family.	3106	P30493	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-55 alpha chain	None
23	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	Enzyme	Tchem	0	23	HSD3B1	Belongs to the 3-beta-HSD family.	3283	P14060	2	ENSP00000358421	1p12	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	None
24	3 beta-hydroxysteroid dehydrogenase type 7	Enzyme	Tbio	0	24	HSD3B7	Belongs to the 3-beta-HSD family.	80270	Q9H2F3	2	ENSP00000297679	16p11.2	3 beta-hydroxysteroid dehydrogenase type 7	None
